Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,GpsDate,GPSTime,Latitude,Longitude,Speed,SpeedType,Heading,HeadingType,TrueHeading,MagneticHeading,MagneticVariation,GPSError,DataStatus
2093,2017-11-08 11:46:47.832,832,2017-11-08 11:46:47.832,2017-11-08 11:46:47.833,2017-11-08 11:45:49.000,114549000,50.337159999999997,-4.1320050000000004,5.1231198583618331,N ,190.3350290953926,T ,,,-1.7325531412905695,0,A  
2094,2017-11-08 11:46:57.832,832,2017-11-08 11:46:57.832,2017-11-08 11:46:57.834,2017-11-08 11:45:59.000,114559000,50.336950000000002,-4.1320600000000001,4.679999998927542,N ,180,T ,,,-1.7325441208674051,0,A  
2095,2017-11-08 11:47:07.835,835,2017-11-08 11:47:07.835,2017-11-08 11:47:07.836,2017-11-08 11:46:09.000,114609000,50.336741666666668,-4.1320233333333336,4.4166924285073268,N ,167.98895479339612,T ,,,-1.7325023224952951,0,A  
2096,2017-11-08 11:47:18.832,832,2017-11-08 11:47:18.832,2017-11-08 11:47:18.833,2017-11-08 11:46:20.000,114620000,50.336506666666665,-4.1319983333333337,4.34437510930365,N ,173.92773764115816,T ,,,-1.7324610666467837,0,A  
2097,2017-11-08 11:47:28.836,836,2017-11-08 11:47:28.836,2017-11-08 11:47:28.838,2017-11-08 11:46:30.000,114630000,50.33629333333333,-4.1319850000000002,4.6800000004623143,N ,180,T ,,,-1.7324269858495005,0,A  
2098,2017-11-08 11:47:39.833,833,2017-11-08 11:47:39.833,2017-11-08 11:47:39.834,2017-11-08 11:46:41.000,114641000,50.336071666666669,-4.1320449999999997,4.4701670545199859,N ,194.89314506792206,T ,,,-1.7324181637471703,0,A  
2099,2017-11-08 11:47:50.831,831,2017-11-08 11:47:50.831,2017-11-08 11:47:50.832,2017-11-08 11:46:52.000,114652000,50.335843333333337,-4.1321216666666665,4.3746545263991843,N ,189.06634017252537,T ,,,-1.7324144294786272,0,A  
2100,2017-11-08 11:48:00.836,836,2017-11-08 11:48:00.836,2017-11-08 11:48:00.837,2017-11-08 11:47:02.000,114702000,50.335631666666664,-4.1321733333333333,4.4166968976051502,N ,192.01131769877691,T ,,,-1.7324039822970145,0,A  
2101,2017-11-08 11:48:11.835,835,2017-11-08 11:48:11.835,2017-11-08 11:48:11.836,2017-11-08 11:47:13.000,114713000,50.335396666666668,-4.1322316666666667,4.7694045560486069,N ,191.11133232532018,T ,,,-1.7323927339008742,0,A  
2102,2017-11-08 11:48:22.839,839,2017-11-08 11:48:22.839,2017-11-08 11:48:22.841,2017-11-08 11:47:24.000,114724000,50.335163333333334,-4.1322650000000003,4.6856378179961276,N ,182.81094491775931,T ,,,-1.7323727126942254,0,A  
2103,2017-11-08 11:48:33.835,835,2017-11-08 11:48:33.835,2017-11-08 11:48:33.836,2017-11-08 11:47:35.000,114735000,50.33493166666667,-4.1323083333333335,3.9865786204248308,N ,186.61980612885407,T ,,,-1.7323565208123044,0,A  
2104,2017-11-08 11:48:43.835,835,2017-11-08 11:48:43.835,2017-11-08 11:48:43.836,2017-11-08 11:47:45.000,114745000,50.334723333333336,-4.132341666666667,4.416700554770677,N ,192.01154068044693,T ,,,-1.7323399304622005,0,A  
